[2018-01-03 10:21:52.886][INF][MS:8900:33] MainFrame::prepare in
[2018-01-03 10:21:52.886][INF][MS:8900:34] MainFrame::prepare out
[2018-01-03 10:21:52.886][INF][MS:6340:35] MainService::WorkThread start run.
[2018-01-03 10:21:52.888][DBG][Audio:2952:36] voiceEng init...
[2018-01-03 10:21:52.888][DBG][Audio:2952:37] AudioPrint level:0x1000, CRVE_Init in
[2018-01-03 10:21:52.888][INF][MS:2952:38] MSCSetCRVECommandCallback in
[2018-01-03 10:21:52.888][INF][MS:2952:39] handler?null: yes
[2018-01-03 10:21:52.888][INF][MS:2952:40] MSCSetCRVECommandCallback out
[2018-01-03 10:21:52.906][INF][MS:6340:41] MainFrame::initialize in
[2018-01-03 10:21:52.906][INF][MS:6340:42] MainFrame::initialize out
[2018-01-03 10:21:52.906][INF][MS:8900:43] MSCInit out
[2018-01-03 10:21:52.906][INF][MS:8900:44] MSCSetTransProtocol in
[2018-01-03 10:21:52.906][INF][MS:8900:45] transProto:0
[2018-01-03 10:21:52.906][INF][MS:8900:46] MSCSetTransProtocol out
[2018-01-03 10:21:52.906][INF][SIG:8900:47] SIGClientStart in
[2018-01-03 10:21:52.906][INF][SIG:8900:48] SIGClientStart out
[2018-01-03 10:21:52.906][INF][MS:8900:49] MSCStart in
[2018-01-03 10:21:52.907][INF][MS:8900:50] MSCStart out
[2018-01-03 10:21:52.907][DBG][Main:8900:51] Init model:SYNC
[2018-01-03 10:21:52.907][DBG][Main:8900:52] Init model:BRIDGE
[2018-01-03 10:21:52.907][DBG][Main:8900:53] Init model:VIDEO
[2018-01-03 10:21:52.907][DBG][Video:8900:54] avcodec version: 0x395964
[2018-01-03 10:21:52.907][DBG][Video:8900:55] profile:high444, noCabac:0, noHardCoding:0, sliceMaxSZ:0, iFrameMSecond:0
[2018-01-03 10:21:52.907][DBG][Video:8900:56] KVideoMgr cpuCount:4
[2018-01-03 10:21:52.909][INF][MS:8900:57] MSCSetVideoCallback in
[2018-01-03 10:21:52.909][INF][MS:8900:58] pHandler?null: yes
[2018-01-03 10:21:52.909][INF][MS:8900:59] MSCSetVideoCallback out
[2018-01-03 10:21:52.909][DBG][Main:8900:60] Init model:AUDIO
[2018-01-03 10:21:52.909][DBG][Main:8900:61] Init model:MEDIA
[2018-01-03 10:21:52.909][INF][MS:8900:62] MSCSetFilmCallback in
[2018-01-03 10:21:52.909][INF][MS:8900:63] pHandler?null: yes
[2018-01-03 10:21:52.909][INF][MS:8900:64] MSCSetFilmCallback out
[2018-01-03 10:21:52.909][DBG][Main:8900:65] Init model:FILE_TRANS_NOTIFY
[2018-01-03 10:21:52.909][DBG][Main:8900:66] Init model:FILE_TRANSFER
[2018-01-03 10:21:52.910][DBG][Main:8900:67] Init model:FILE_SVRCOVER
[2018-01-03 10:21:52.910][DBG][Main:8900:68] Init model:WHITE_BOARD
[2018-01-03 10:21:52.910][DBG][Main:8900:69] Init model:SCREEN_SHARE
[2018-01-03 10:21:52.911][INF][MS:8900:70] MSCSetScreenCallback in
[2018-01-03 10:21:52.911][INF][MS:8900:71] pHandler?null: yes
[2018-01-03 10:21:52.911][INF][MS:8900:72] MSCSetScreenCallback out
[2018-01-03 10:21:52.911][DBG][Main:8900:73] Init model:NOTICE
[2018-01-03 10:21:52.911][DBG][Main:8900:74] Init model:ROLLCALL
[2018-01-03 10:21:52.911][DBG][Main:8900:75] Init model:IM
[2018-01-03 10:21:52.911][DBG][Main:8900:76] Init model:NRTCOMM
[2018-01-03 10:21:52.911][DBG][Main:8900:77] Init model:RECORD
[2018-01-03 10:21:52.911][DBG][Main:8900:78] Init model:BROADCAST
[2018-01-03 10:21:52.912][DBG][Audio:8900:79] WaitVoiceEngInit...
[2018-01-03 10:21:53.038][DBG][Audio:2952:80] AudioPrint level:0x1000, Windows Core Audio APIs will be utilized
[2018-01-03 10:21:53.044][DBG][Audio:2952:81] AudioPrint level:0x1000, CRVE_Init out
[2018-01-03 10:21:53.044][DBG][Audio:2952:82] voiceEng init...2
[2018-01-03 10:21:53.044][DBG][Audio:2952:83] AudioPrint level:0x1000, CRVE_CreateChannel in
[2018-01-03 10:21:53.045][DBG][Audio:2952:84] AudioPrint level:0x1000, CRVE_CreateChannel out
[2018-01-03 10:21:53.045][DBG][Audio:2952:85] AudioPrint level:0x1000, CRVE_SetSpeakerVolume in
[2018-01-03 10:21:53.045][DBG][Audio:2952:86] AudioPrint level:0x1000, CRVE_SetSpeakerVolume out
[2018-01-03 10:21:53.045][DBG][Audio:2952:87] voiceEng init...end
[2018-01-03 10:21:53.046][DBG][Audio:8900:88] WaitVoiceEngInit...finished
[2018-01-03 10:21:53.046][DBG][RateControl:8900:89] Upload start(bps:100000000)...
[2018-01-03 10:21:53.046][DBG][RateControl:8900:90] Download start(bps:100000000)...
[2018-01-03 10:21:53.047][DBG][MeetingSDK:8900:91] sdk file path: C:\Users\admin\Desktop\web\demo\examples\RecordDemo(web)\home\
[2018-01-03 10:23:56.822][DBG][MeetingSDK:8900:92] CloudroomVideoSDK::uninit...
[2018-01-03 10:23:56.822][DBG][MeetingSDK:8900:93] CloudroomMeetingSDK uninit...
[2018-01-03 10:23:56.822][DBG][MeetingSDK:8900:94] CloudroomMeetingSDK slot_unInit...
[2018-01-03 10:23:56.822][DBG][MeetMgr:8900:95] LoginMgr unInit...
[2018-01-03 10:23:56.822][DBG][MeetMgr:8900:96] begin uninit.
[2018-01-03 10:23:56.822][INF][SIG:8900:97] SIGClientStop in
[2018-01-03 10:23:56.822][INF][SIG:8900:98] MainService::Reset in
[2018-01-03 10:23:56.822][INF][SIG:8900:99] MainService::Reset out
[2018-01-03 10:23:56.822][INF][SIG:8900:100] SIGClientStop out
[2018-01-03 10:23:56.822][DBG][ICE:8900:101] shutdown communicator for MeetingCallAPI
[2018-01-03 10:23:56.822][DBG][ICE:8900:102] destroy communicator for MeetingCallAPI...
[2018-01-03 10:23:56.822][DBG][ICE:8900:103] reset communicator to null...
[2018-01-03 10:23:56.822][DBG][ICE:8900:104] uninit communicator for MeetingCallAPI...end
[2018-01-03 10:23:56.822][DBG][httpLink:8900:105] cancel all http cmd!
[2018-01-03 10:23:56.822][DBG][MeetMgr:8900:106] LoginMgr unInit...end
[2018-01-03 10:23:56.822][DBG][Main:8900:107] sdk uninit...
[2018-01-03 10:23:56.822][DBG][RateControl:8900:108] Upload stop...
[2018-01-03 10:23:56.822][DBG][RateControl:8900:109] Download stop...
[2018-01-03 10:23:56.823][DBG][Main:8900:110] UnitAllModels...
[2018-01-03 10:23:56.823][DBG][Main:8900:111] unInit  model:BROADCAST
[2018-01-03 10:23:56.823][DBG][Main:8900:112] unInit  model:RECORD
[2018-01-03 10:23:56.823][DBG][Main:8900:113] unInit  model:NRTCOMM
[2018-01-03 10:23:56.823][DBG][Main:8900:114] unInit  model:IM
[2018-01-03 10:23:56.823][DBG][Main:8900:115] unInit  model:ROLLCALL
[2018-01-03 10:23:56.823][DBG][Main:8900:116] unInit  model:NOTICE
[2018-01-03 10:23:56.823][DBG][Main:8900:117] unInit  model:SCREEN_SHARE
[2018-01-03 10:23:56.823][DBG][Main:8900:118] unInit  model:WHITE_BOARD
[2018-01-03 10:23:56.823][DBG][Main:8900:119] unInit  model:FILE_SVRCOVER
[2018-01-03 10:23:56.823][DBG][Main:8900:120] unInit  model:FILE_TRANSFER
[2018-01-03 10:23:56.823][DBG][Main:8900:121] unInit  model:FILE_TRANS_NOTIFY
[2018-01-03 10:23:56.823][DBG][Main:8900:122] unInit  model:MEDIA
[2018-01-03 10:23:56.823][DBG][Media:8900:123] MediaMgr destory...
[2018-01-03 10:23:56.823][INF][MS:8900:124] MSCSetFilmCallback in
[2018-01-03 10:23:56.823][INF][MS:8900:125] pHandler?null: no
[2018-01-03 10:23:56.823][INF][MS:8900:126] MSCSetFilmCallback out
[2018-01-03 10:23:56.824][DBG][Media:8900:127] stopMediaFileDecode...
[2018-01-03 10:23:56.824][DBG][Media:8900:128] stopMediaFileDecode finished!
